session_date,rth_start,rth_end,ib_high,ib_low,ib_range,midpoint,ib_volume,total_volume,relative_ib_volume,rth_high,rth_low,rth_close,rotation,failed_auction,breakside,breakside_rotation_up,breakside_rotation_down,breakside_retracement_points,breakside_retracement_normib,opening_window_minutes,opening_range_high,opening_range_low,opening_range,opening_range_close,opening_direction,opening_type,opening_bar_open,opening_bar_close,opening_bar_open_close,opening_bar_volume
2023-11-30,06:30,13:00,16051.5,15918.75,132.75,15985.125,285284.0,889845.0,0.32059965499609483,16051.5,15855.75,15979.75,False,failed_low,low,,15991.5,72.75,0.5480225988700564,10,16051.5,15986.5,65.0,15991.5,down,auction,16032.5,16028.0,-4.5,10163.0
2023-12-01,06:30,13:00,15963.75,15873.5,90.25,15918.625,287790.0,923855.0,0.311509923093992,16050.0,15864.5,16025.5,True,failed_low,low,,16050.0,176.5,1.9556786703601108,10,15936.0,15875.5,60.5,15915.5,down,auction,15932.5,15920.5,-12.0,7519.0
2023-12-04,06:30,13:00,15876.25,15746.75,129.5,15811.5,280853.0,843405.0,0.3329989743954565,15885.25,15721.25,15870.25,True,failed_both,low,15863.0,15885.25,138.5,1.0694980694980696,10,15876.25,15836.25,40.0,15859.25,down,auction,15862.25,15860.75,-1.5,7705.0
2023-12-05,06:30,13:00,15936.75,15783.25,153.5,15860.0,302555.0,913332.0,0.33126508213880607,15961.75,15783.25,15912.0,False,failed_high,high,15827.5,,109.25,0.7117263843648208,10,15833.5,15783.25,50.25,15808.75,up,auction,15791.0,15807.5,16.5,6485.0
2023-12-06,06:30,13:00,16039.0,15876.0,163.0,15957.5,297631.0,875009.0,0.34014621563892483,16039.0,15802.0,15816.0,False,none,low,,,48.5,0.29754601226993865,10,16039.0,15938.25,100.75,15942.5,down,drive,16033.75,16009.75,-24.0,10866.0
2023-12-07,06:30,13:00,15997.25,15888.0,109.25,15942.625,306135.0,817268.0,0.3745833680016837,16065.75,15888.0,16035.75,False,none,high,,,66.5,0.6086956521739131,10,15982.0,15907.0,75.0,15959.5,up,auction,15934.25,15923.25,-11.0,12356.0
2023-12-08,06:30,13:00,16113.25,15946.75,166.5,16030.0,287396.0,802427.0,0.35815843684222987,16119.0,15946.75,16098.75,False,failed_high,high,16088.0,,25.25,0.15165165165165165,10,15994.75,15946.75,48.0,15979.0,up,auction,15956.0,15986.5,30.5,12759.0
2023-12-11,06:30,13:00,16174.75,16068.5,106.25,16121.625,126908.0,357677.0,0.35481174355633716,16246.25,16068.5,16234.25,False,none,high,,,53.25,0.5011764705882353,10,16139.0,16068.5,70.5,16135.0,up,auction,16077.0,16075.75,-1.25,4970.0
2023-12-12,06:30,13:00,16280.0,16185.0,95.0,16232.5,79100.0,201801.0,0.3919703073820249,16367.0,16185.0,16365.0,False,none,high,,,25.75,0.2710526315789474,10,16237.5,16194.0,43.5,16202.75,down,auction,16232.25,16225.25,-7.0,3298.0
2023-12-13,06:30,13:00,16657.25,16596.75,60.5,16627.0,149377.0,647845.0,0.23057521475044185,16806.0,16576.0,16780.5,True,failed_low,low,,16806.0,209.25,3.458677685950413,10,16657.25,16606.0,51.25,16640.5,up,auction,16609.75,16626.5,16.75,7495.0
